priceDate,open,low,high,close,volume,Revenues,NetIncomeLoss,EarningsPerShareBasic,EarningsPerShareDiluted,OperatingIncomeLoss,CostOfRevenue,GrossProfit,CashAndCashEquivalentsAtCarryingValue,LongTermDebt,DebtCurrent,Assets,LiabilitiesCurrent,InventoryNet,ResearchAndDevelopmentExpense,weather_code,temperature_2m_max,temperature_2m_min
1654552800.0,234.0,230.093,239.997,238.887,72808602.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,55.0,24.417501,14.5675
1654466400.0,244.353,234.35,244.867,238.28,84204522.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,26.5175,14.2675
1654207200.0,243.225,233.418,247.797,234.517,112393737.00000012,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,23.8675,18.067501
1654120800.0,244.157,242.067,264.21,258.333,93473118.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,26.7675,16.4675
1654034400.0,251.72,243.64,257.327,246.79,77247963.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,65.0,22.2175,15.867499
1653948000.0,257.947,244.743,259.6,252.753,101914371.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,2.0,34.9175,19.567501
1653602400.0,241.083,240.177,253.267,253.21,89294982.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,23.0175,16.1175
1653516000.0,220.473,217.887,239.557,235.91,106003344.00000012,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,19.8675,10.8175
1653429600.0,207.95,207.67,223.107,219.6,92139324.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,19.417501,10.867499
1653343200.0,217.843,206.857,217.973,209.387,89092515.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,19.4675,12.5175
1653256800.0,218.34,212.687,226.652,224.967,88903638.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,22.6175,15.9175
1652997600.0,237.997,211.0,240.527,221.3,144973305.00000015,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,21.817501,11.117499
1652911200.0,235.667,231.37,244.667,236.473,90296673.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,21.2175,12.4675
1652824800.0,248.173,233.603,253.5,236.603,87811812.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,21.4675,11.117499
1652738400.0,249.12,242.95,254.827,253.87,80236110.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,23.6175,11.9175
1652652000.0,255.72,239.696,256.587,241.457,86098539.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,22.4675,15.5675
1652392800.0,257.827,250.522,262.45,256.53,92150724.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,22.0175,14.0675
1652306400.0,233.667,226.667,253.22,242.667,140312862.00000015,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,51.0,21.417501,11.4675
1652220000.0,265.0,242.4,269.923,244.667,97224459.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,21.167501,8.6675
1652133600.0,273.103,258.083,275.12,266.68,84401631.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,2.0,20.0175,7.7175
1652047200.0,278.817,260.383,281.877,262.37,90810222.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,1.0,18.317501,5.4675
1651788000.0,295.667,281.035,296.0,288.55,72903111.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,63.0,14.5675,9.4675
1651701600.0,313.07,285.9,315.2,291.093,92519193.0000001,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,22.1175,11.4175
1651615200.0,301.313,295.093,318.5,317.54,81643704.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,55.0,20.5175,9.7675
1651528800.0,301.06,296.197,308.027,303.083,63709575.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,3.0,18.2675,7.4675
1651442400.0,286.923,282.677,302.12,300.98,75781371.00000007,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,61.0,14.9175,9.617499
1651183200.0,300.75,290.0,311.467,290.253,88132995.00000009,23350000000,1853000000,0.58,0.53,1764000000,19172000000,4178000000,15932000000,2152000000,1552000000,93941000000,26640000000,13721000000,1161000000,0.0,15.6675,2.8174999
