close,fclose,fhigh,flow,fopen,fvolume,high,low,open,priceDate,symbol,uclose,uhigh,ulow,uopen,uvolume,volume,id,key,subkey,date,updated
293.6,293.6,300.133,279.607,285,123520191.00000012,300.133,279.607,285,2021-01-25,TSLA,880.8,900.4,838.8201,855,41173397,123520191.00000012,HISTORICAL_PRICES,TSLA,,1611532800000,1661544970000
282.213,282.213,282.667,276.207,278.103,60199491.00000007,282.667,276.207,278.103,2021-01-22,TSLA,846.64,848,828.62,834.31,20066497,60199491.00000007,HISTORICAL_PRICES,TSLA,,1611273600000,1661544965000
281.663,281.663,285.24,280.473,285,61794399.00000007,285.24,280.473,285,2021-01-21,TSLA,844.99,855.7199,841.4201,855,20598133,61794399.00000007,HISTORICAL_PRICES,TSLA,,1611187200000,1661544965000
283.483,283.483,286.5,279.093,286.247,76997649.00000007,286.5,279.093,286.247,2021-01-20,TSLA,850.45,859.5,837.28,858.74,25665883,76997649.00000007,HISTORICAL_PRICES,TSLA,,1611100800000,1661544963000
281.517,281.517,283.333,277.667,279.267,76100940.00000007,283.333,277.667,279.267,2021-01-19,TSLA,844.55,850,833,837.8,25366980,76100940.00000007,HISTORICAL_PRICES,TSLA,,1611014400000,1661544968000
275.387,275.387,286.633,273.033,284,116332788.00000012,286.633,273.033,284,2021-01-15,TSLA,826.16,859.9,819.1,852,38777596,116332788.00000012,HISTORICAL_PRICES,TSLA,,1610668800000,1661544966000
281.667,281.667,287.667,279.583,281.13,93798981.0000001,287.667,279.583,281.13,2021-01-14,TSLA,845,863,838.75,843.39,31266327,93798981.0000001,HISTORICAL_PRICES,TSLA,,1610582400000,1661544969000
284.803,284.803,286.823,277.333,284.253,99937488.0000001,286.823,277.333,284.253,2021-01-13,TSLA,854.41,860.47,832,852.76,33312496,99937488.0000001,HISTORICAL_PRICES,TSLA,,1610496000000,1661544970000
283.147,283.147,289.333,275.78,277,138812160.00000015,289.333,275.78,277,2021-01-12,TSLA,849.44,868,827.34,831,46270720,138812160.00000015,HISTORICAL_PRICES,TSLA,,1610409600000,1661544972000
270.397,270.397,284.81,267.874,283.133,178662438.00000018,284.81,267.874,283.133,2021-01-11,TSLA,811.19,854.43,803.6222,849.4,59554146,178662438.00000018,HISTORICAL_PRICES,TSLA,,1610323200000,1661544968000
293.34,293.34,294.83,279.463,285.333,225166584.00000024,294.83,279.463,285.333,2021-01-08,TSLA,880.02,884.49,838.39,856,75055528,225166584.00000024,HISTORICAL_PRICES,TSLA,,1610064000000,1661544963000
272.013,272.013,272.33,258.4,259.21,154496844.00000015,272.33,258.4,259.21,2021-01-07,TSLA,816.04,816.99,775.2,777.63,51498948,154496844.00000015,HISTORICAL_PRICES,TSLA,,1609977600000,1661544969000
251.993,251.993,258,249.7,252.83,134099895.00000012,258,249.7,252.83,2021-01-06,TSLA,755.98,774,749.1,758.49,44699965,134099895.00000012,HISTORICAL_PRICES,TSLA,,1609891200000,1661544968000
245.037,245.037,246.947,239.733,241.22,96735495.0000001,246.947,239.733,241.22,2021-01-05,TSLA,735.11,740.84,719.2,723.66,32245165,96735495.0000001,HISTORICAL_PRICES,TSLA,,1609804800000,1661544969000
