priceDate,open,low,high,close,volume
1666742400000000000,219.4,218.2,230.6,224.64,85327078.0
1666656000000000000,210.1,210.0,224.3498,222.415,96507870.0
1666569600000000000,205.82,198.5863,213.5,211.25,100446765.0
1666310400000000000,206.415,203.8,214.66,214.44,75713754.0
1666224000000000000,208.28,202.0,215.55,207.28,117798062.0
1666137600000000000,219.8,217.78,222.93,222.04,66571479.0
1666051200000000000,229.5,217.25,229.82,220.19,75891905.0
1665964800000000000,210.04,209.45,221.86,219.35,79428810.0
1665705600000000000,224.01,204.16,226.26,204.99,94124511.0
1665619200000000000,208.3,206.22,222.99,221.72,91483045.0
1665532800000000000,215.33,211.51,219.2999,217.24,66860699.0
1665446400000000000,220.945,215.0,225.75,216.5,77013202.0
1665360000000000000,223.93,218.3582,226.99,222.96,67925018.0
1665100800000000000,233.935,222.02,234.5715,223.07,83916800.0
1665014400000000000,239.44,235.35,244.58,238.13,69298437.0
1664928000000000000,245.01,233.27,246.6697,240.81,86982673.0
1664841600000000000,250.52,242.01,257.5,249.44,109578535.0
1664755200000000000,254.5,241.01,255.16,242.4,98363541.0
1664496000000000000,266.145,262.47,275.57,265.25,67726598.0
1664409600000000000,282.76,265.78,283.65,268.21,77620642.0
1664323200000000000,283.08,277.57,289.0,287.81,54664809.0
1664236800000000000,283.84,277.51,288.67,282.94,61925185.0
1664150400000000000,271.83,270.31,284.09,276.01,58076913.0
1663891200000000000,283.09,272.82,284.5,275.33,63748362.0
1663804800000000000,299.86,285.82,301.29,288.59,70545413.0
1663718400000000000,308.29,300.63,313.8,300.8,62555656.0
1663632000000000000,306.91,305.58,313.33,308.73,61642783.0
1663545600000000000,300.09,297.8,309.84,309.07,60231156.0
1663286400000000000,299.605,295.6005,303.71,303.35,87087786.0
1663200000000000000,301.825,300.7247,309.12,303.75,64795523.0
1663113600000000000,292.24,291.64,306.0,302.61,72628653.0
1663027200000000000,292.9,290.4,297.3999,292.13,68229619.0
1662940800000000000,300.72,300.4,305.49,304.42,48674604.0
1662681600000000000,291.67,291.245,299.85,299.68,54470854.0
1662595200000000000,281.3,279.76,289.5,289.26,53713124.0
1662508800000000000,273.1,272.27,283.84,283.7,50028916.0
1662422400000000000,272.675,265.74,275.99,274.42,55859984.0
1662076800000000000,281.065,269.08,282.35,270.21,50890090.0
1661990400000000000,272.575,266.15,277.58,277.16,54287024.0
1661904000000000000,280.62,271.81,281.25,275.61,52107337.0
1661817600000000000,287.865,272.65,288.48,277.7,50541759.0
1661731200000000000,282.83,280.7,287.74,284.82,41864742.0
1661472000000000000,297.43,287.47,302.0,288.09,57163947.0
1661385600000000000,302.36,291.6,302.96,296.07,53230013.0
1661299200000000000,297.5633,296.5,303.6467,297.0967,57259716.00000006
1661212800000000000,291.453,287.923,298.827,296.453,63985044.00000007
1661126400000000000,291.913,286.297,292.4,289.913,55843347.00000006
1660867200000000000,299.0,292.5,300.36,296.667,61395387.00000007
1660780800000000000,306.0,301.853,306.5,302.87,47500536.00000005
1660694400000000000,303.397,300.033,309.657,303.997,68765970.00000007
1660608000000000000,311.667,302.883,314.667,306.563,88136322.00000009
1660521600000000000,301.787,301.23,313.133,309.32,89359167.00000009
1660262400000000000,289.415,285.033,300.16,300.03,79657287.00000009
1660176000000000000,296.513,285.833,298.237,286.63,70155045.00000007
1660089600000000000,297.067,283.37,297.51,294.357,94918872.0000001
1660003200000000000,290.293,279.353,292.397,283.333,86244681.00000009
1659916800000000000,295.0,289.085,305.2,290.423,99365274.0000001
1659657600000000000,302.67,285.545,304.607,288.17,113172897.00000012
1659571200000000000,311.0,305.0,313.607,308.633,72256317.00000007
1659484800000000000,305.0,301.15,309.55,307.397,80091105.00000009
1659398400000000000,294.003,292.667,307.833,300.587,95577468.0000001
1659312000000000000,301.275,295.0,311.878,297.277,117042888.00000012
1659052800000000000,280.7,279.1,298.32,297.15,95312883.0000001
1658966400000000000,280.067,272.8,283.3,280.9,84722991.00000009
1658880000000000000,263.81,261.79,275.926,274.82,88109988.00000009
1658793600000000000,266.513,256.263,267.31,258.86,66820758.00000007
1658707200000000000,272.217,267.4,274.147,268.433,64073505.00000007
1658448000000000000,276.22,270.713,280.787,272.243,103472847.0000001
1658361600000000000,255.107,254.867,273.267,271.707,142032177.00000015
1658275200000000000,246.783,243.483,250.663,247.5,88864089.00000009
1658188800000000000,245.0,236.977,247.14,245.53,80890110.00000009
1658102400000000000,244.937,239.603,250.517,240.547,82537428.00000009
1657843200000000000,240.0,236.89,243.623,240.067,69683019.00000007
1657756800000000000,234.897,229.333,238.653,238.313,78557499.00000009
