date,weather_code,temperature_2m_max,temperature_2m_min
2019-10-24 05:00:00,0.0,17.6175,7.3175
2019-10-25 05:00:00,3.0,16.817501,8.5175
2019-10-26 05:00:00,51.0,16.5175,9.867499
2019-10-27 05:00:00,63.0,21.0175,12.7675
2019-10-28 05:00:00,3.0,17.7175,9.9675
2019-10-29 05:00:00,51.0,15.9675,12.2675
2019-10-30 05:00:00,51.0,18.7175,13.117499
2019-10-31 05:00:00,63.0,20.4675,15.867499
2019-11-01 05:00:00,61.0,20.8675,6.0675
2019-11-02 05:00:00,3.0,10.3175,3.5674999
2019-11-03 05:00:00,3.0,11.0675,4.2175
2019-11-04 05:00:00,2.0,12.367499,3.5175
2019-11-05 05:00:00,53.0,15.5675,7.1675
2019-11-06 05:00:00,1.0,11.4675,5.7675004
2019-11-07 05:00:00,55.0,14.117499,5.5675
2019-11-08 05:00:00,3.0,4.5675,-1.2825
2019-11-09 05:00:00,3.0,4.4675,-3.5325
2019-11-10 05:00:00,3.0,10.9675,0.0675
2019-11-11 05:00:00,2.0,14.1675,4.5675
2019-11-12 05:00:00,73.0,12.0175,-3.6325
2019-11-13 05:00:00,2.0,0.9175,-4.8325
2019-11-14 05:00:00,2.0,6.5175004,-3.7825
2019-11-15 05:00:00,2.0,10.0175,-0.5825
2019-11-16 05:00:00,2.0,4.0175004,-1.6825
2019-11-17 05:00:00,3.0,4.2175,-2.5825
2019-11-18 05:00:00,63.0,4.7175,2.8174999
2019-11-19 05:00:00,61.0,10.7175,2.8174999
2019-11-20 05:00:00,3.0,7.4675,3.1175
2019-11-21 05:00:00,53.0,10.3175,0.76750004
2019-11-22 05:00:00,61.0,11.2175,2.6175
2019-11-23 05:00:00,61.0,6.6675,-0.5325
2019-11-24 05:00:00,63.0,8.4675,3.4675
2019-11-25 05:00:00,2.0,10.367499,1.7175
2019-11-26 05:00:00,1.0,13.2675,2.0175
2019-11-27 05:00:00,53.0,13.9175,3.0674999
2019-11-28 05:00:00,3.0,10.2175,1.7674999
2019-11-29 05:00:00,1.0,5.1175003,-1.4825001
2019-11-30 05:00:00,2.0,5.7175,-2.1325
2019-12-01 05:00:00,73.0,3.8174999,-3.0825
2019-12-02 05:00:00,75.0,3.5175,-0.3825
2019-12-03 05:00:00,73.0,3.0674999,-2.1325
2019-12-04 05:00:00,3.0,4.4675,-2.4825
2019-12-05 05:00:00,3.0,5.2675004,0.1675
2019-12-06 05:00:00,3.0,8.4675,-1.9325
2019-12-07 05:00:00,2.0,2.7675,-3.1325
2019-12-08 05:00:00,3.0,4.7675004,-4.3325
2019-12-09 05:00:00,63.0,12.0175,4.2675004
2019-12-10 05:00:00,61.0,13.4175,5.8675003
2019-12-11 05:00:00,75.0,5.3175,-0.8325
2019-12-12 05:00:00,2.0,1.2175,-3.7325
2019-12-13 05:00:00,61.0,10.5675,0.0675
